timer,roll,pitch,yaw,accel_x,accel_y,accel_z
 1.37759, 0.50473,-0.72834, 0.35669, 2.46644,-0.42533, 1.26487
 1.37867, 0.50247,-0.73106, 0.35812, 2.43980,-0.38213, 1.26879
 1.37976, 0.50028,-0.73369, 0.35938, 2.41400,-0.33947, 1.27286
 1.38085, 0.49815,-0.73626, 0.36056, 2.38897,-0.29755, 1.27688
 1.38193, 0.49607,-0.73880, 0.36166, 2.36466,-0.25663, 1.28086
 1.38302, 0.49401,-0.74133, 0.36273, 2.34800,-0.22563, 1.28399
 1.38410, 0.51360,-0.72184, 0.34641, 2.33214,-0.19687, 1.28629
 1.38950, 0.51053,-0.72534, 0.34973, 2.31342,-0.17401, 1.28671
 1.39059, 0.50734,-0.72894, 0.35345, 2.29476,-0.15422, 1.28640
 1.39167, 0.50400,-0.73264, 0.35753, 2.27618,-0.13743, 1.28520
 1.39276, 0.50053,-0.73646, 0.36192, 2.25782,-0.12368, 1.28306
 1.39385, 0.49696,-0.74037, 0.36652, 2.23985,-0.11295, 1.27998
 1.39494, 0.49331,-0.74437, 0.37124, 2.22225,-0.10501, 1.27593
 1.39603, 0.48961,-0.74844, 0.37597, 2.20501,-0.09957, 1.27089
 1.39711, 0.48586,-0.75261, 0.38065, 2.18822,-0.09642, 1.26473
 1.39820, 0.48208,-0.75687, 0.38523, 2.17182,-0.09541, 1.25719
 1.39929, 0.47822,-0.76123, 0.38978, 2.15793,-0.10297, 1.24694
 1.40038, 0.49547,-0.74631, 0.37546, 2.14407,-0.11264, 1.23532
 1.40562, 0.48990,-0.75228, 0.38225, 2.12505,-0.12898, 1.21854
 1.40671, 0.48408,-0.75824, 0.38951, 2.10513,-0.14761, 1.20128
 1.40780, 0.47807,-0.76415, 0.39715, 2.08449,-0.16804, 1.18388
 1.40889, 0.47195,-0.76997, 0.40502, 2.06326,-0.18990, 1.16652
 1.40998, 0.46582,-0.77565, 0.41295, 2.04177,-0.21274, 1.14942
 1.41106, 0.45979,-0.78119, 0.42071, 2.02032,-0.23598, 1.13256
 1.41215, 0.45394,-0.78659, 0.42808, 1.99918,-0.25902, 1.11578
 1.41324, 0.44831,-0.79188, 0.43494, 1.97853,-0.28139, 1.09885
 1.41433, 0.44294,-0.79708, 0.44121, 1.95843,-0.30282, 1.08166
 1.41542, 0.46740,-0.78200, 0.41858, 1.94222,-0.31925, 1.06512
 1.42067, 0.46222,-0.78825, 0.42314, 1.92651,-0.33265, 1.04410
 1.42176, 0.45698,-0.79444, 0.42784, 1.91143,-0.34517, 1.02323
 1.42284, 0.45171,-0.80055, 0.43259, 1.89690,-0.35686, 1.00294
 1.42393, 0.44644,-0.80656, 0.43735, 1.88284,-0.36760, 0.98330
 1.42501, 0.44125,-0.81247, 0.44201, 1.86924,-0.37738, 0.96433
 1.42610, 0.43617,-0.81825, 0.44644, 1.85609,-0.38621, 0.94608
 1.42720, 0.43128,-0.82391, 0.45054, 1.84342,-0.39399, 0.92858
 1.42828, 0.42662,-0.82944, 0.45418, 1.83128,-0.40059, 0.91198
 1.42937, 0.42227,-0.83482, 0.45723, 1.81980,-0.40585, 0.89628
 1.43046, 0.41825,-0.84008, 0.45959, 1.80923,-0.40945, 0.88140
 1.43155, 0.41454,-0.84527, 0.46124, 1.80471,-0.40624, 0.87114
 1.43264, 0.43433,-0.83842, 0.43752, 1.80194,-0.40052, 0.86072
 1.43791, 0.43161,-0.84378, 0.43619, 1.80113,-0.38967, 0.84784
 1.43900, 0.42905,-0.84908, 0.43457, 1.80153,-0.37736, 0.83471
 1.44009, 0.42659,-0.85434, 0.43274, 1.80288,-0.36434, 0.82125
 1.44118, 0.42421,-0.85958, 0.43080, 1.80496,-0.35121, 0.80748
 1.44226, 0.42183,-0.86482, 0.42890, 1.80750,-0.33860, 0.79360
 1.44335, 0.41941,-0.87005, 0.42712, 1.81026,-0.32707, 0.78002
 1.44444, 0.41689,-0.87532, 0.42556, 1.81320,-0.31692, 0.76703
 1.44553, 0.41417,-0.88068, 0.42436, 1.81640,-0.30854, 0.75473
 1.44661, 0.41119,-0.88619, 0.42362, 1.82024,-0.30314, 0.74701
 1.44770, 0.44071,-0.87582, 0.38289, 1.82444,-0.29898, 0.73918
 1.45294, 0.43331,-0.88444, 0.38800, 1.82984,-0.31082, 0.72665
 1.45402, 0.42521,-0.89334, 0.39403, 1.83535,-0.32631, 0.71317
 1.45511, 0.41634,-0.90254, 0.40098, 1.84077,-0.34513, 0.69881
 1.45620, 0.40664,-0.91200, 0.40891, 1.84594,-0.36755, 0.68350
 1.45729, 0.39604,-0.92172, 0.41788, 1.85066,-0.39394, 0.66734
 1.45838, 0.38446,-0.93169, 0.42793, 1.85474,-0.42462, 0.65044
